"id_candidato";"condicao";"sentiment_ptbr";"n";"words_total";"fator"
2756607;"recusado";"antecipação";1;13;0.0769230769230769
2756607;"recusado";"confiança";5;13;0.384615384615385
2756607;"recusado";"negativo";1;13;0.0769230769230769
2756607;"recusado";"positivo";5;13;0.384615384615385
2756607;"recusado";"tristeza";1;13;0.0769230769230769
2777665;"recusado";"antecipação";3;16;0.1875
2777665;"recusado";"confiança";4;16;0.25
2777665;"recusado";"negativo";2;16;0.125
2777665;"recusado";"positivo";6;16;0.375
2777665;"recusado";"tristeza";1;16;0.0625
2837662;"contratado";"alegria";1;27;0.037037037037037
2837662;"contratado";"confiança";7;27;0.259259259259259
2837662;"contratado";"medo";2;27;0.0740740740740741
2837662;"contratado";"negativo";3;27;0.111111111111111
2837662;"contratado";"positivo";11;27;0.407407407407407
2837662;"contratado";"raiva";1;27;0.037037037037037
2837662;"contratado";"tristeza";2;27;0.0740740740740741
2902261;"contratado";"alegria";1;26;0.0384615384615385
2902261;"contratado";"antecipação";2;26;0.0769230769230769
2902261;"contratado";"confiança";4;26;0.153846153846154
2902261;"contratado";"medo";2;26;0.0769230769230769
2902261;"contratado";"negativo";3;26;0.115384615384615
2902261;"contratado";"nojo";1;26;0.0384615384615385
2902261;"contratado";"positivo";9;26;0.346153846153846
2902261;"contratado";"raiva";2;26;0.0769230769230769
2902261;"contratado";"surpresa";1;26;0.0384615384615385
2902261;"contratado";"tristeza";1;26;0.0384615384615385
3072366;"recusado";"alegria";1;43;0.0232558139534884
3072366;"recusado";"antecipação";2;43;0.0465116279069767
3072366;"recusado";"confiança";1;43;0.0232558139534884
3072366;"recusado";"medo";7;43;0.162790697674419
3072366;"recusado";"negativo";13;43;0.302325581395349
3072366;"recusado";"nojo";7;43;0.162790697674419
3072366;"recusado";"positivo";4;43;0.0930232558139535
3072366;"recusado";"raiva";4;43;0.0930232558139535
3072366;"recusado";"surpresa";2;43;0.0465116279069767
3072366;"recusado";"tristeza";2;43;0.0465116279069767
3205627;"contratado";"antecipação";2;8;0.25
3205627;"contratado";"confiança";3;8;0.375
3205627;"contratado";"positivo";3;8;0.375
3254633;"contratado";"confiança";1;3;0.333333333333333
3254633;"contratado";"medo";1;3;0.333333333333333
3254633;"contratado";"negativo";1;3;0.333333333333333
3263953;"contratado";"antecipação";1;4;0.25
3263953;"contratado";"confiança";1;4;0.25
3263953;"contratado";"positivo";2;4;0.5
3275989;"contratado";"alegria";1;23;0.0434782608695652
3275989;"contratado";"antecipação";2;23;0.0869565217391304
3275989;"contratado";"confiança";5;23;0.217391304347826
3275989;"contratado";"medo";2;23;0.0869565217391304
3275989;"contratado";"negativo";3;23;0.130434782608696
3275989;"contratado";"positivo";7;23;0.304347826086957
3275989;"contratado";"tristeza";3;23;0.130434782608696
3366230;"contratado";"alegria";1;43;0.0232558139534884
3366230;"contratado";"antecipação";2;43;0.0465116279069767
3366230;"contratado";"confiança";1;43;0.0232558139534884
3366230;"contratado";"medo";7;43;0.162790697674419
3366230;"contratado";"negativo";13;43;0.302325581395349
3366230;"contratado";"nojo";7;43;0.162790697674419
3366230;"contratado";"positivo";4;43;0.0930232558139535
3366230;"contratado";"raiva";4;43;0.0930232558139535
3366230;"contratado";"surpresa";2;43;0.0465116279069767
3366230;"contratado";"tristeza";2;43;0.0465116279069767
3371441;"contratado";"alegria";1;14;0.0714285714285714
3371441;"contratado";"antecipação";2;14;0.142857142857143
3371441;"contratado";"confiança";3;14;0.214285714285714
3371441;"contratado";"negativo";1;14;0.0714285714285714
3371441;"contratado";"positivo";6;14;0.428571428571429
3371441;"contratado";"surpresa";1;14;0.0714285714285714
3379261;"contratado";"antecipação";2;6;0.333333333333333
3379261;"contratado";"medo";1;6;0.166666666666667
3379261;"contratado";"positivo";3;6;0.5
3496908;"recusado";"confiança";2;6;0.333333333333333
3496908;"recusado";"negativo";1;6;0.166666666666667
3496908;"recusado";"positivo";2;6;0.333333333333333
3496908;"recusado";"tristeza";1;6;0.166666666666667
3521035;"contratado";"medo";1;2;0.5
3521035;"contratado";"negativo";1;2;0.5
3535752;"contratado";"antecipação";2;12;0.166666666666667
3535752;"contratado";"confiança";2;12;0.166666666666667
3535752;"contratado";"positivo";8;12;0.666666666666667
3605757;"recusado";"antecipação";4;36;0.111111111111111
3605757;"recusado";"confiança";1;36;0.0277777777777778
3605757;"recusado";"medo";4;36;0.111111111111111
3605757;"recusado";"negativo";11;36;0.305555555555556
3605757;"recusado";"nojo";3;36;0.0833333333333333
3605757;"recusado";"positivo";3;36;0.0833333333333333
3605757;"recusado";"raiva";6;36;0.166666666666667
3605757;"recusado";"surpresa";1;36;0.0277777777777778
3605757;"recusado";"tristeza";3;36;0.0833333333333333
3629950;"contratado";"antecipação";1;10;0.1
3629950;"contratado";"confiança";2;10;0.2
3629950;"contratado";"negativo";1;10;0.1
3629950;"contratado";"positivo";5;10;0.5
3629950;"contratado";"tristeza";1;10;0.1
3634423;"contratado";"confiança";2;3;0.666666666666667
3634423;"contratado";"positivo";1;3;0.333333333333333
3660556;"recusado";"antecipação";1;13;0.0769230769230769
3660556;"recusado";"confiança";6;13;0.461538461538462
3660556;"recusado";"positivo";6;13;0.461538461538462
3668105;"recusado";"negativo";1;1;1
3669927;"recusado";"positivo";1;1;1
3683447;"contratado";"alegria";3;23;0.130434782608696
3683447;"contratado";"antecipação";4;23;0.173913043478261
3683447;"contratado";"confiança";5;23;0.217391304347826
3683447;"contratado";"nojo";1;23;0.0434782608695652
3683447;"contratado";"positivo";8;23;0.347826086956522
3683447;"contratado";"surpresa";2;23;0.0869565217391304
3707308;"recusado";"antecipação";1;7;0.142857142857143
3707308;"recusado";"medo";1;7;0.142857142857143
3707308;"recusado";"negativo";1;7;0.142857142857143
3707308;"recusado";"nojo";1;7;0.142857142857143
3707308;"recusado";"raiva";1;7;0.142857142857143
3707308;"recusado";"surpresa";1;7;0.142857142857143
3707308;"recusado";"tristeza";1;7;0.142857142857143
3711446;"recusado";"negativo";2;6;0.333333333333333
3711446;"recusado";"positivo";3;6;0.5
3711446;"recusado";"tristeza";1;6;0.166666666666667
3715027;"contratado";"confiança";2;4;0.5
3715027;"contratado";"positivo";2;4;0.5
3733369;"recusado";"confiança";4;7;0.571428571428571
3733369;"recusado";"medo";1;7;0.142857142857143
3733369;"recusado";"negativo";1;7;0.142857142857143
3733369;"recusado";"positivo";1;7;0.142857142857143
3736033;"recusado";"antecipação";1;4;0.25
3736033;"recusado";"positivo";3;4;0.75
3738744;"recusado";"antecipação";1;9;0.111111111111111
3738744;"recusado";"confiança";2;9;0.222222222222222
