"condicao";"sentiment_ptbr";"n";"words_total";"fator"
"contratado";"alegria";73;1293;0.0564578499613302
"contratado";"antecipação";134;1293;0.103634957463264
"contratado";"confiança";224;1293;0.173240525908739
"contratado";"medo";58;1293;0.0448569218870843
"contratado";"negativo";131;1293;0.101314771848415
"contratado";"nojo";47;1293;0.0363495746326373
"contratado";"positivo";508;1293;0.392884764114462
"contratado";"raiva";32;1293;0.0247486465583913
"contratado";"surpresa";43;1293;0.0332559938128384
"contratado";"tristeza";43;1293;0.0332559938128384
"recusado";"alegria";56;943;0.0593849416755037
"recusado";"antecipação";95;943;0.100742311770944
"recusado";"confiança";178;943;0.188759278897137
"recusado";"medo";43;943;0.0455991516436903
"recusado";"negativo";88;943;0.0933191940615058
"recusado";"nojo";33;943;0.0349946977730647
"recusado";"positivo";351;943;0.372216330858961
"recusado";"raiva";31;943;0.0328738069989396
"recusado";"surpresa";37;943;0.039236479321315
"recusado";"tristeza";31;943;0.0328738069989396
